80
748291|Computer Science Orientation Week|1|20260105|0900|1100|101|0|0|50
384710|Advanced Networking Lab Session|2|20260106|1300|1500|108|0|0|20
912045|New Year Research Kickoff Seminar|2|20260107|1000|1200|604|0|0|40
563821|Robotics Club First Meeting|3|20260108|1400|1600|208|0|0|15
104938|Chemistry Lab Safety Briefing|1|20260109|0800|0900|401|0|0|40
729384|MBA Strategy Workshop|2|20260110|1000|1200|915|0|0|25
301847|Physics Guest Lecture Series 1|3|20260112|1400|1600|502|0|0|60
856203|Medical Simulation Drill Alpha|1|20260113|0900|1200|1105|0|0|20
492817|Annual Research Planning Symposium|2|20260114|0900|1700|1303|0|0|100
637492|AI Research Lab Intro Session|1|20260115|1000|1200|110|0|0|35
112233|Biomedical Sciences Lab Induction|1|20260119|0800|1000|705|0|0|30
223344|Law Faculty Moot Preparation|2|20260120|1300|1500|802|0|0|20
334455|Mathematics Lecture Series 1|2|20260121|0900|1100|602|0|0|55
445566|Electrical Engineering Lab Intro|1|20260122|1000|1200|206|0|0|25
556677|Arts and Humanities Seminar|3|20260123|1400|1600|1003|0|0|30
667788|Library Research Skills Workshop|3|20260126|1100|1300|1402|0|0|45
778899|PhD Orientation Postgrad Floor|2|20260127|0900|1100|1202|0|0|20
889900|Clinical Skills Lab Intro|1|20260128|0800|1000|1104|0|0|18
990011|Mechanical Engineering Safety Talk|1|20260129|1300|1400|312|0|0|35
101112|Senate Academic Calendar Briefing|1|20260130|1000|1200|1303|0|0|80
213141|February Faculty Dev Workshop|2|20260202|0900|1200|904|0|0|40
314151|Genetics Lab Experiment Session 1|1|20260203|1300|1600|706|0|0|16
415161|Quantum Physics Lab Practical 1|1|20260204|0800|1100|505|0|0|18
516171|Legal Research Lab Session|2|20260205|1000|1200|808|0|0|22
617181|Trading Simulation Lab Round 1|2|20260206|1300|1600|905|0|0|20
718191|Fluid Mechanics Lab Session 1|1|20260209|0900|1200|307|0|0|24
819201|Media Production Workshop|3|20260210|1400|1700|1006|0|0|15
920211|Biochemistry Practical Session|1|20260211|0800|1100|709|0|0|20
121314|CAD CAM Lab Design Project Kickoff|2|20260212|1300|1600|309|0|0|18
222324|Postdoc Research Presentation|2|20260213|1000|1200|1210|0|0|25
323334|March Exam Prep Lecture CS|1|20260302|0800|1000|102|0|0|55
424344|Organic Chemistry Pre Exam Lab|1|20260303|1300|1600|405|0|0|20
525354|Robotics Mid Project Review|2|20260304|1000|1200|208|0|0|15
626364|Law Moot Court Competition Day 1|1|20260305|0900|1700|802|0|0|30
727374|Physics Optics Lab Practical|1|20260306|0800|1100|506|0|0|18
